date,day_of_week,hk_residents_outbound
2025年3月1日,星期六,442614
2025年3月2日,星期日,301960
2025年3月3日,星期一,314226
2025年3月4日,星期二,283671
2025年3月5日,星期三,298483
2025年3月6日,星期四,313271
2025年3月7日,星期五,406115
2025年3月8日,星期六,482591
2025年3月9日,星期日,306910
2025年3月10日,星期一,315474
2025年3月11日,星期二,297488
2025年3月12日,星期三,296320
2025年3月13日,星期四,347020
2025年3月14日,星期五,382330
2025年3月15日,星期六,456567
2025年3月16日,星期日,326235
2025年3月17日,星期一,334920
2025年3月18日,星期二,270554
2025年3月19日,星期三,302947
2025年3月20日,星期四,316413
2025年3月21日,星期五,412837
2025年3月22日,星期六,419066
2025年3月23日,星期日,303313
2025年3月24日,星期一,286182
2025年3月25日,星期二,265232
2025年3月26日,星期三,308961
2025年3月27日,星期四,304534
2025年3月28日,星期五,417345
2025年3月29日,星期六,473422
2025年3月30日,星期日,318081
2025年3月31日,星期一,305333
